Title,Content,Content_url,News_type,Day_month_year_hour,Img_url
Mustafa Cengiz: Galatasaray olumlu ilklerin takımı olmaya devam edecek,"Sarı-kırmızılı kulübün internet sitesinde yapılan açıklamaya göre Mustafa Cengiz dün Dinamo Bükreş ile oynanan hazırlık maçında ilk kez A takım forması giyen Beren Yeşilırmak ile yine altyapılarda Galatasaray forması giyen Özge Arslanalp, Enes Alperen Baytuk ve Buğra Ertaş ile beraber GSTV'ye röportaj verdi.Galatasaray Kulübünün altyapılarda 1500'e yakın gence hizmet verdiğini vurgulayan Mustafa Cengiz, şunları kaydetti:""Galatasaray Spor Kulübü, diğer büyük kulüplerimizin de yaptığı gibi altyapılarda 1500'e yakın gencimize eğitim vermektedir. Bir yandan da Milli Eğitim Bakanlığının ve Gençlik ve Spor Bakanlığının görevlerine destek olmaktadır. Ben Beren kızımızın da Kadın Voleybol Takımımızın Dinamo Bükreş'i 4-0 yendiği maçta forma giydiğini dün öğrendim. Kendisi henüz 13 yaşında olmasına rağmen, A takım ile maça çıkıyor. Kızımızı yürekten kutluyorum. Japonya'da düzenlenen Voleybol Dünya Şampiyonası'nda, Galatasaray'dan 3 sporcu bulunuyordu. Galatasaray her zaman olumlu ilklerin takımı olmaya devam edecek. Hiçbir zaman da olumsuz ilklerin takımı olmayacağız diye umuyorum.""A takım forması giyen Beren Yeşilırmak ise maçta çok heyecanlı olduğunu belirterek, ""Dünkü maçta çok heyecanlıydım. İlk defa böyle büyük bir maça çıkıyordum. Elimden geldiğince takım arkadaşlarıma ayak uydurmaya çalıştım. Ataman hocam ve takımdaki ablalarım da çok yardımcı oldu. Çok güzel bir duyguydu. Hedefim A takıma çıkıp profesyonel olmak."" ifadelerini kullandı. ",/spor/futbol/2018/10/13/mustafa-cengiz-galatasaray-olumlu-ilklerin-takimi-olmaya-devam-edecek,Futbol,13.10.18-00:01,https://iasbh.tmgrup.com.tr/fa0c21/752/395/0/121/800/541?u=https://isbh.tmgrup.com.tr/sbh/2018/10/14/mustafa-cengiz-galatasaray-olumlu-ilklerin-takimi-olmaya-devam-edecek-1539464980130.jpg
"Ryan Babelli Hollanda, Almanya’yı üç golle geçti","Hollanda Milli Takımı, UEFA Uluslar Ligi'nde Almanya'yı 3-0 mağlup etti.UEFA Uluslar Ligi'nin 3. haftasında Hollanda, Türk hakem Cüneyt Çakır'ın yönettiği Johan Cruyff Arena'daki mücadelede Almanya'yı konuk etti.Hollanda, maçın 30. dakikasında Virgil van Dijk'in attığı kafa golüyle 1-0 öne geçti. 86. dakikada Memphis Depay'ın golüyle farkı ikiye çıkaran ev sahibi ekip, 90+2. dakikada Georginio Wijanaldum'un attığı golle sahadan 3-0 galip ayrıldı.Hollanda Milli Takımı'nda maça ilk 11'de başlayan Beşiktaşlı futbolcu Ryan Babel, 67. dakikada yerini Arnaut Groeneveld'e bıraktı.İtalyan temsilcisi Juventus'ta forma giyen Türk asıllı Alman futbolcu Emre Can, 57 dakika sahada kaldı. ",/spor/futbol/2018/10/13/ryan-babelli-hollanda-almanyayi-uc-golle-gecti,Futbol,13.10.18-00:01,https://iasbh.tmgrup.com.tr/011fc7/752/395/0/0/800/420?u=https://isbh.tmgrup.com.tr/sbh/2018/10/14/ryan-babelli-hollanda-almanyayi-uc-golle-gecti-1539464650728.jpg
UEFA Uluslar Ligi’nde toplu sonuçlar,"UEFA'nın milli takım düzeyindeki yeni organizasyonunun üçüncü haftasında, A, B, C ve D liglerinde 9 karşılaşma yapıldı.Türk hakem Cüneyt Çakır'ın yönettiği mücadelede Hollanda, Johan Cruyff Arena'da Almanya'yı ağırladı. Ev sahibi takım, Virgil van Dijk, Memphis Depay ve Georginio Wijnaldum'un golleriyle Almanya'yı 3-0 mağlup etti.UEFA Uluslar Ligi'ndeki müsabakalarda alınan sonuçlar şöyle:A LİGİ1. Grup: Hollanda-Almanya: 3-0B LİGİ1. Grup: Slovakya-Çekya: 1-24. Grup: İrlanda Cumhuriyeti-Danimarka: 0-0C LİGİ3. Grup: Norveç-Slovenya: 1-0Bulgaristan-Kıbrıs Rum Kesimi: 2-1D LİGİ1 Grup: Letonya-Kazakistan: 1-1Gürcistan-Andorra: 3-04. Grup: Ermenistan-Cebelitarık: 0-1

Makedonya-Lihtenştayn: 4-1",/spor/futbol/2018/10/13/uefa-uluslar-liginde-toplu-sonuclar,Futbol,13.10.18-23:59,https://iasbh.tmgrup.com.tr/f8c7c6/752/395/0/0/748/392?u=https://isbh.tmgrup.com.tr/sbh/2018/10/13/uefa-uluslar-liginde-toplu-sonuclar-1539464345209.jpg
Deniz Akkaya’dan çok sert tepki!,"Deniz Akkaya, tehditle aracına el koyduğunu, yanındaki 2 kişinin de kendisini darp ettiğini iddia eden eski menajeri Merih Yılmaz'la ilgili sosyal medyadan çok sert bir açıklama yaptı.Yılmaz'ın şikayeti üzerine başlatılan soruşturma kapsamında Akkaya şüpheli olarak sorgulanmıştı. Akkaya, sorgusunun ardından emniyetten ayrılırken ""Davete icabet ettik. Biz şikayetçiyiz."" demişti. İşte Deniz Akkaya'nın eski menajeri Merih Yılmaz'a ""tarihin en büyük tazminat davasını"" açacağını belirttiği o açıklama… ",/magazin/deniz-akkayadan-cok-sert-tepki-4400673,Günaydın,13.10.18-22:48,https://iasbh.tmgrup.com.tr/de3e44/752/396/1/0/958/505?u=https://isbh.tmgrup.com.tr/sbh/2018/10/13/deniz-akkayadan-cok-sert-tepki-1539460110242.jpg
Türkiye’de hangi isimde bir makam vardır?,a) Adapazarı Valiliğib) Aksaray Valiliğic) İzmit Valiliğid) Antakya Valiliği Doğru Cevap: b) Aksaray Valiliği,/medya/turkiyede-hangi-isimde-bir-makam-vardir-4400665,Medya,13.10.18-22:24,https://iasbh.tmgrup.com.tr/317609/752/396/1/0/750/395?u=https://isbh.tmgrup.com.tr/sbh/2018/10/13/1539457664774.jpg
Tofaş yoluna kayıpsız devam etti,"Lige galibiyetle başlayan TOFAŞ, sahasında İstanbul Büyükşehir Belediyespor ile karşılaştı. TOFAŞ Spor Salonu'nda oynanan mücadeleye kötü başlayan Bursa temsilcisi ilk periyot yalnızca 8 sayı üretebildi ve çeyreği de 8-16 geride tamamladı. İkinci çeyrek ile birlikte özellikle hücumda pota altını etkili kullanan TOFAŞ, üst üste sayılar bularak maçta öne geçti ve rakibini de bu periyotta 10 sayı tutarak devreye 32-26 önde girdi.Dönüşte de Garrett ve Withey'nin skorer oyunuyla ritim bulan TOFAŞ, maçtaki kontrolünü iyice eline geçirdi. Taraftar desteğini de arkasına alan mavi yeşillilerde Yiğit Arslan da benchten gelerek skora önemli katkı sunarken Bursa temsilcisi, 54-38 üstün başladığı final periyodında da ritmini korudu ve parkeden 73-61 galip ayrıldı. Bu sonucun ardından TOFAŞ ligde 2'de 2 yaparak yoluna kayıpsız devam etti.SALON: TOFAŞ
HAKEMLER: Mehmet Keseratar, Semih Vural, Özge Şentürk?
TOFAŞ: Kenny Kadji (10), Kyle Weems (4), Diante Garrett (17), Demonte Harper (7), Jeff Withey (11), Yiğit Arslan (17), Barış Ermiş (3), Berkan Durmaz (2), Muhaymin Mustafa (2), Muhsin Yaşar
İSTANBUL BÜYÜKŞEHİR BELEDİYESPOR: Mehmet Yağmur, Damian Kulig (9), Semih Erden (13), Luka Babic (18), Terrell Holloway (16), Mert Gizir, Sabahattin Can Göndür (3), Shevon Thompson (2)
1.PERİYOT: 8-16
DEVRE: 32-26
3. PERİYOT: 54-38
",/spor/basketbol/2018/10/13/tofas-yoluna-kayipsiz-devam-etti,Basketbol,13.10.18-22:17,https://iasbh.tmgrup.com.tr/790403/752/395/0/68/800/488?u=https://isbh.tmgrup.com.tr/sbh/2018/10/13/tofas-yoluna-kayipsiz-devam-etti-1539458234202.jpg
"Türkiye A Milli Futbol Takımı, Rusya maçının hazırlıklarını tamamladı","Teknik direktör Mircea Lucescu yönetiminde Adler Antrenman Tesisleri'nde gerçekleştirilen idmana aday kadroda yer alan tüm futbolcular katıldı.Isınma hareketleriyle başlayan antrenman, dar alan oyunları ve çift kaleli taktik çalışma ile devam etti. Sonrasında gerçekleştirilen şut çalışması ile antrenman sona erdi. Antrenmanı Türkiye Futbol Federasyonu Başkanvekili Ali Dürüst de takip etti.Türkiye yarın akşam TSİ 19:00'da UEFA Uluslar Ligi B ligi 2'nci Grup mücadelesinde Rusya ile deplasmanda karşı karşıya gelecek.",/spor/futbol/2018/10/13/turkiye-a-milli-futbol-takimi-rusya-macinin-hazirliklarini-tamamladi,Futbol,13.10.18-22:04,https://iasbh.tmgrup.com.tr/82ef2e/752/395/0/0/800/419?u=https://isbh.tmgrup.com.tr/sbh/2018/10/13/turkiye-a-milli-futbol-takimi-rusya-macinin-hazirliklarini-tamamladi-1539457459293.jpg
Osmanlı ordusunda silah yapımıyla uğraşan ocağa bağlı olan barutçuların ustabaşına ne ad verilirdi?,a) Otçubaşıb) Demcibaşıc) Fercibaşıd) Tozcubaşı Doğru cevap: a) Otçubaşı,/medya/osmanli-ordusunda-silah-yapimiyla-ugrasan-ocaga-bagli-olan-barutcularin-ustabasina-ne-ad-verilirdi-4400661,Medya,13.10.18-22:03,https://iasbh.tmgrup.com.tr/f1d1ef/752/396/1/0/750/395?u=https://isbh.tmgrup.com.tr/sbh/2018/10/13/1539457152249.jpg
Sivrisineklerin ağız bölgesinde kan emmek için kullandıkları yan yana kaç iğne vardır?,a)6b)8c)10d)12Doğru cevap: a)6,/medya/sivrisineklerin-agiz-bolgesinde-kan-emmek-icin-kullandiklari-yan-yana-kac-igne-vardir-4400656,Medya,13.10.18-21:58,https://iasbh.tmgrup.com.tr/caa5d7/752/396/0/0/748/395?u=https://isbh.tmgrup.com.tr/sbh/2018/10/13/1539454401276.jpg
Brunson Beyaz Saray’da,"ABD Başkanı Donald Trump, Beyaz Saray'da dün serbest bırakılan Rahip Andrew Brunson ile görüştü. Başkan Trump, Türkiye ile bir anlaşma olmadığının altını çizerek ""Cumhurbaşkanı Erdoğan'a bir kez daha çok teşekkür ediyorum. Türk halkına teşekkür ediyorum. Bence bu ilişkilerimiz için büyük bir adım olacak"" dedi 



ABD Başkanı Donald Trump, serbest bırakılıp ülkesine dönen Rahip Brunson ile Beyaz Saray'da bir araya geldi. ABD Başkanı Trump, Rahip Brunson'ın bu süreçte zor zamanlar geçirdiğini belirterek, ""Türkiye için de kolay bir durum değildi. Onlar da bir sürü zor süreç yaşadı. Cumhurbaşkanı Erdoğan'a bunu gerçekleştirebildiği için teşekkür ediyorum. Ne demek istediğimi anlıyorsunuz, onun için de kolay değildi"" ifadesini kullandı.
Yapılan duadan sonra sözü bir kez daha alan Trump, Türkiye ile bir anlaşmanın söz konusu olmadığını kaydederek ""Cumhurbaşkanı Erdoğan'a bir kez daha çok teşekkür ediyorum. Türk halkına teşekkür ediyorum. Bence bu ilişkilerimiz için büyük bir adım olacak. Geçen son birkaç ayda, gerçekleşen şeyler sebebi ile çok sert ilişkilerimiz oldu"" ifadelerini kullandı. ",/gundem/2018/10/13/brunson-beyaz-sarayda,Gündem,13.10.18-21:49,https://iasbh.tmgrup.com.tr/f9fe21/752/395/0/0/800/420?u=https://isbh.tmgrup.com.tr/sbh/2018/10/13/brunson-beyaz-sarayda-1539461911635.jpg
