Title,Content,Content_url,News_type,Day_month_year_hour,Img_url
Pendik’te kuruyemiş yüklü TIR bariyerlere çarptı: 1 yaralı,"Kaza, saat 02.30 sıralarında TEM Otoyolu Mecidiye mevkisi Kuzey Marmara bağlantı yolu girişinde meydana geldi. Servan Demir'in kullandığı 06 BFP 28 plakalı TIR, şoförünün direksiyon hakimiyetini kaybetmesi üzerine bariyerlere çarptı. Bariyerlere çarpan TIR,  yön tabelasına vurarak durabildi. Kazanın ardından TIR şoförü Servan Demir, araçta sıkışarak yaralandı. 
Haber verilmesi üzerine olay yerine polis, itfaiye ve sağlık ekipleri sevk edildi. Olay yerine gelen polis ekipleri çevrede güvenlik önlemi alırken, itfaiye ekipleri araçta sıkışan Demir'i kurtararak sağlık ekiplerine teslim etti. Demir, sağlık ekiplerinin olay yerinde yaptığı ilk müdahalenin  ardından hastaneye kaldırıldı. KURUYEMİŞLER ÇEVREYE SAÇILDI
Kaza sırasında TIR'da hasar oluşurken, kuruyemişler ise çevreye dağıldı. Kaza nedeniyle bağlantı yolunda trafik kontrollü olarak sağlandı. Karayolları Genel Müdürlüğü'ne bağlı ekipler, olay yerine gelerek temizlik çalışması yaptı. Temizlik çalışmasından sonra otoyolun trafiği normal seyrine döndü. Polis kaza ile ilgili inceleme başlattı. 
 ",/yasam/pendikte-tir-kaza-yapti-1-kisi-yaralandi-6759198,Yaşam,24.12.23-00:01,https://iasbh.tmgrup.com.tr/d9a46b/752/395/0/0/600/315?u=https://isbh.tmgrup.com.tr/sbh/2023/12/25/pendikte-tir-kaza-yapti-1-kisi-yaralandi-1703474159485.jpeg
Adana 4. Sulh Hukuk Mahkemesi,,/resmi-ilan/2023/12/24/tc-adana-4-sulh-hukuk-mahkemesi-1703475886,Resmi İlan,24.12.23-00:01,https://iasbh.tmgrup.com.tr/849c95/752/396/0/38/1292/720?u=https://isbh.tmgrup.com.tr/sbh/2023/12/25/tc-adana-4-sulh-hukuk-mahkemesi-1703471892234.jpg
Adana 4. Sulh Hukuk Mahkemesi,"Sayı :2023/83 Tereke
İLANKahramanmaraş ili Elbistan ilçesi Gümüşdöven Mahallesi Cilt No: 31 Hane No:6 da nüfusa kayıtlı, Hüseyin ve Hatun dan olma Ankara 20/05/1959 doğ. 35327024354 T.C.Kimlik numaralı 16/11/2022 tarihinde vefat eden muris Eşref Ali ÖZBEK'in mali durumu hakkında bilgi sahibi olan herkesin, mirasçılarının ve muristen alacaklı olanların ve murise borcu bulunanların (kefalet sebebiyle alacaklı ve borçlu olanlar dahil), işbu ilanın yapıldığı tarihten itibaren bir ay içinde Adana 4. Sulh Hukuk Mahkemesinin 2023/83 Tereke sayılı dosyasına başvurarak murisin mal varlığı hakkında bilgi vermeleri, alacaklı ve borçluların alacak ve borçlarını belgeleriyle birlikte dosyaya bildirmeleri, karşılığında kendilerine makbuz verilebileceği, haklı bir sebep olmaksızın bilgi vermeyenler veya yanlış ya da eksik bilgi verenlerin bundan doğacak zararları mirasçıları, vasiyet alacaklılarına veya üçüncü kişilere tazminle yükümlü olacakları, süresi içinde alacaklarını bildirip deftere yazdırmayan alacaklıların, TMK. m.629 gereği terekeden hak talep edemeyecekleri ilgililere ilanen tebliğ olunur.22/12/2023Basın No: ILN01957070#ilan.gov.tr",/resmi-ilan/2023/12/24/tc-adana-4-sulh-hukuk-mahkemesi,Resmi İlan,24.12.23-00:01,https://iasbh.tmgrup.com.tr/673e1a/752/396/0/38/1292/720?u=https://isbh.tmgrup.com.tr/sbh/2023/12/25/tc-adana4-sulh-hukuk-mahkemesi-1703471807309.jpg
Etüd proje hizmeti alınacaktır,"I. BÖLGE MÜDÜRLÜĞÜ-İSTANBUL ULAŞTIRMA VE ALTYAPI BAKANLIĞI BAKAN YARDIMCILIKLARI
5. Ekonomik açıdan en avantajlı teklif sadece fiyat esasına göre belirlenecektir.

6. İhaleye sadece yerli istekliler katılabilecektir.

7. İhale dokümanı EKAP üzerinden bedelsiz olarak görülebilir. Ancak, ihaleye teklif verecek olanların, e-imza kullanarak EKAP üzerinden ihale dokümanını indirmeleri zorunludur.

8. Teklifler, EKAP üzerinden elektronik ortamda hazırlandıktan sonra, e-imza ile imzalanarak, teklife ilişkin e-anahtar ile birlikte ihale tarih ve saatine kadar EKAP üzerinden gönderilecektir.

9. İstekliler tekliflerini, götürü bedel üzerinden vereceklerdir. İhale sonucunda, üzerine ihale yapılan istekliyle toplam bedel üzerinden götürü bedel sözleşme imzalanacaktır.

10. Bu ihalede, işin tamamı için teklif verilecektir.

11. İstekliler teklif ettikleri bedelin %3'ünden az olmamak üzere kendi belirleyecekleri tutarda geçici teminat vereceklerdir.

12. Bu ihalede elektronik eksiltme yapılmayacaktır.

13. Verilen tekliflerin geçerlilik süresi, ihale tarihinden itibaren 120 (YüzYirmi) takvim günüdür.

14.Konsorsiyum olarak ihaleye teklif verilemez.

15. Diğer hususlar:
İhalede Uygulanacak Sınır Değer Katsayısı (R) : Mühendislik Hizmetleri/0,74
Aşırı düşük teklif değerlendirme yöntemi : Teklifi sınır değerin altında kalan isteklilerden Kanunun 38 inci maddesine göre açıklama istenecektir.Basın No: ILN01957052#ilan.gov.tr",/resmi-ilan/2023/12/24/etud-proje-hizmeti-alinacaktir,Resmi İlan,24.12.23-00:01,https://iasbh.tmgrup.com.tr/8aa5da/752/396/0/44/1292/725?u=https://isbh.tmgrup.com.tr/sbh/2023/12/25/etud-proje-hizmeti-alinacaktir-1703471740815.jpg
Bandırma Sulh Hukuk Mahkemesinden,,/resmi-ilan/2023/12/24/tc-bandirma-sulh-hukuk-mahkemesinden,Resmi İlan,24.12.23-00:01,https://iasbh.tmgrup.com.tr/852f29/752/396/0/44/1292/725?u=https://isbh.tmgrup.com.tr/sbh/2023/12/25/tc-bandirma-sulh-hukuk-mahkemesinden-1703471591699.jpg
Yalova Sulh Hukuk Mahkemesinden,,/resmi-ilan/2023/12/24/yalova-sulh-hukuk-mahkemesinden,Resmi İlan,24.12.23-00:01,https://iasbh.tmgrup.com.tr/aef7a7/752/396/0/44/1292/725?u=https://isbh.tmgrup.com.tr/sbh/2023/12/25/yalova-sulh-hukuk-mahkemesinden-1703471501555.jpg
Eds bakım ve işletilmesi işi ihale edilecektir,,/resmi-ilan/2023/12/24/elektronik-denetleme-sisteminin-eds-bakim-ve-isletilmesi-isi-ihale-edilecektir,Resmi İlan,24.12.23-00:01,https://iasbh.tmgrup.com.tr/ea8267/752/396/0/44/1292/725?u=https://isbh.tmgrup.com.tr/sbh/2023/12/25/elektronik-denetleme-sisteminin-eds-bakim-ve-isletilmesi-isi-ihale-edilecektir-1703471438955.jpg
Manisa 3. Asliye Hukuk Mahkemesi Hakimliği’nden,"Sayı : 2023/438 Esas 20/12/2023
İ L A NDavacı T.C. Hazine ve Maliye Bakanlığı'nın açtığı davada, Manisa ili, Şehzadeler ilçesi, Umumi Mahalleler (İshakçelebi) Mahallesi, 56 ada 2 parsel sayılı taşınmaz maliklerinden Aşıkzade Mustafa Ef. isimli şahsın TMK 588. Maddesi gereğince gaipliğine, Manisa 2.Sulh Hukuk Mahkemesi'nin 2012/411 Esas - 2013/136 Karar sayılı kararı ile Aşıkzade Mustafa Ef. Hakkında verilen kayyımlık kararının kaldırılması, TR71 0021 1000 0005 6111 9007 77 IBAN numaralı hesapta değerlendirilen meblağın Maliye Hazinesine intikaline karar verilmesi talep ve dava edilmiştir. Aşıkzade Mustafa Ef. isimli şahıs ile ilgili bilgi ve görgü sahibi olan şahısların ilk ilan tarihinden itibaren 6 ay içinde mahkememize müracaat etmeleri, edilmediği taktirde bu şahsın GAİPLİĞİNE karar verileceği ilan olunur. 20/12/2023Basın No: ILN01955900#ilan.gov.tr",/resmi-ilan/2023/12/24/manisa-3-asliye-hukuk-mahkemesi-hakimliginden,Resmi İlan,24.12.23-00:01,https://iasbh.tmgrup.com.tr/524aa8/752/396/0/33/1292/715?u=https://isbh.tmgrup.com.tr/sbh/2023/12/25/manisa-3-asliye-hukuk-mahkemesi-hakimliginden-1703471340756.jpg
Soma 1. Asliye Hukuk Mahkemesinden,,/resmi-ilan/2023/12/24/tc-soma-1-asliye-hukuk-mahkemesinden,Resmi İlan,24.12.23-00:01,https://iasbh.tmgrup.com.tr/ed0de7/752/396/0/49/1292/730?u=https://isbh.tmgrup.com.tr/sbh/2023/12/25/tc-soma-1-asliye-hukuk-mahkemesinden-1703471275946.jpg
Samsun 2. Asliye Hukuk Mahkemesinden,"ESAS NO : 2023/1375 EsasKAMULAŞTIRMA İLANI
Mahkememizde görülmekte olan Kamulaştırma (Bedel tespiti ve tescil) davası nedeniyle;
Davacı Samsun Büyükşehir Belediyesi tarafından davaya konu Samsun İli Canik İlçesi Yenimahalle Mahallesi 1176 ada 8 parsel ve üzerinde bulunan dükkan vasıflı taşınmazın kamulaştırılmasına karar verilmiş olup,
Kıymet Takdir Komisyonunun raporunun düzenlenmesinden sonra taşınmaz maliki olan davalılar Yaşar Yıldırım, Ayşe Livaneli ve Türkan Yıldırım ile uzlaşma sağlanamadığından Mahkememize 2023/1375 Esas numaralı tespit ve tescil davası açılmıştır. Bu dava sonucunda tespit edilecek bedel T.C. Ziraat Bankası Saathane Şubesine davalı adına açılacak hesaba yatırılacaktır.
2942 Sayılı Kamulaştırma Yasasının 10. maddesinin 4. bendi uyarınca ilan olunur. 18/12/2023Basın No: ILN01955795#ilan.gov.tr",/resmi-ilan/2023/12/24/tc-samsun-2-asliye-hukuk-mahkemesinden,Resmi İlan,24.12.23-00:01,https://iasbh.tmgrup.com.tr/00168a/752/396/0/38/1292/720?u=https://isbh.tmgrup.com.tr/sbh/2023/12/25/tc-samsun-2-asliye-hukuk-mahkemesinden-1703471190477.jpg
